Date,Unemployment rate (%)
2016-05-01,4.819125352680371
2016-06-01,4.871451307504073
2016-07-01,4.799804012714047
2016-08-01,4.878354495431243
2016-09-01,4.97952590255081
2016-10-01,4.893956956235707
2016-11-01,4.735245069151003
2016-12-01,4.710104084469996
2017-01-01,4.678611702794136
2017-02-01,4.6159427995921405
2017-03-01,4.416843078114365
2017-04-01,4.421092020331161
2017-05-01,4.373141414898668
2017-06-01,4.290476428286056
2017-07-01,4.29509790479989
2017-08-01,4.41009801601634
2017-09-01,4.253444210003724
2017-10-01,4.179428478750413
2017-11-01,4.218484359723251
2017-12-01,4.13118634565671
2018-01-01,4.032588836272791
2018-02-01,4.067920236373301
2018-03-01,4.002820281285949
2018-04-01,3.992681012047895
2018-05-01,3.8282833275666053
2018-06-01,3.974477529128907
2018-07-01,3.8160415421858924
2018-08-01,3.8079920821477176
2018-09-01,3.7467532868151054
2018-10-01,3.8197562145607065
2018-11-01,3.755312093148935
2018-12-01,3.9146845091479485
2019-01-01,3.9732945515239657
2019-02-01,3.7644402726397095
2019-03-01,3.8071502234444825
2019-04-01,3.6663673379011725
2019-05-01,3.6436028042838444
2019-06-01,3.637355363796823
2019-07-01,3.7049941927990706
2019-08-01,3.6300023202706164
2019-09-01,3.505960071179582
2019-10-01,3.570820358115998
2019-11-01,3.567259994163992
2019-12-01,3.553755639074919
2020-01-01,3.5704508538299153
2020-02-01,3.497966157344635
2020-03-01,4.43285207217072
2020-04-01,14.771963729210528
2020-05-01,13.237740431749327
2020-06-01,11.032913734265035
2020-07-01,10.211575450253541
2020-08-01,8.376165171182159
2020-09-01,7.837726472461198
2020-10-01,6.876890492723738
2020-11-01,6.657577398850768
2020-12-01,6.700052878783167
2021-01-01,6.393983309179951
2021-02-01,6.239699345752385
2021-03-01,6.0822942643391515
2021-04-01,6.0692725204080995
2021-05-01,5.762437810945274
2021-06-01,5.869836287275818
2021-07-01,5.4060580542896775
2021-08-01,5.12360162697258
2021-09-01,4.738227189696276
2021-10-01,4.50004327559133
2021-11-01,4.160068030145242
2021-12-01,3.937303457909992
2022-01-01,3.9797832875992345
2022-02-01,3.8444407836533476
2022-03-01,3.662160516380465
2022-04-01,3.662145424148682
2022-05-01,3.640135797812146
2022-06-01,3.6276410275166726
2022-07-01,3.5165156743443116
2022-08-01,3.5948109368736865
2022-09-01,3.5187907801849305
2022-10-01,3.622272970215247
2022-11-01,3.6138643964730917
2022-12-01,3.4940160581730044
2023-01-01,3.462799161263889
2023-02-01,3.583837266617776
2023-03-01,3.5037293505589524
2023-04-01,3.449392712550607
2023-05-01,3.648598444447108
2023-06-01,3.569011064054104
2023-07-01,3.542725145568901
2023-08-01,3.7458497010592575
2023-09-01,3.770705800306377
2023-10-01,3.8636770230782993
2023-11-01,3.719519448078982
2023-12-01,3.7715227635138766
2024-01-01,3.674576757360806
2024-02-01,3.858486341244962
2024-03-01,3.8690582532366213
2024-04-01,3.8645617544110293
2024-05-01,3.9541356027151533
2024-06-01,4.076664384988542
2024-07-01,4.216498826604878
2024-08-01,4.1965387902383435
2024-09-01,4.090620795125161
2024-10-01,4.1394542475122895
2024-11-01,4.231034318851601
2024-12-01,4.085507306567307
2025-01-01,4.011268331537273
2025-02-01,4.1394936575114905
2025-03-01,4.152036156655392
2025-04-01,4.1873374821047715
2025-05-01,4.244325845991438
