Date,Unemployment gap (pp)
2015-11-01,0.7646995767302549
2015-12-01,0.7522881237551227
2016-01-01,0.6003211150201144
2016-02-01,0.5655979513413554
2016-03-01,0.7434811046800309
2016-04-01,0.650651765567642
2016-05-01,0.6224340224508147
2016-06-01,0.6639246369924123
2016-07-01,0.6389737576145027
2016-08-01,0.6089438540043188
2016-09-01,0.7724344594160675
2016-10-01,0.6521404380504983
2016-11-01,0.6611846602493969
2016-12-01,0.5133236787480877
2017-01-01,0.49757802697469966
2017-02-01,0.5886437908806323
2017-03-01,0.3749854921606497
2017-04-01,0.418304805759556
2017-05-01,0.2938117728554106
2017-06-01,0.34029003680227676
2017-07-01,0.18697924946411426
2017-08-01,0.27112146525920355
2017-09-01,0.1832966155088167
2017-10-01,0.12025104526221764
2017-11-01,0.11554499629237913
2017-12-01,0.11400972241636786
2018-01-01,0.0478245100031236
2018-02-01,-0.012343891932670381
2018-03-01,-0.0246633281288009
2018-04-01,-0.10945891687074516
2018-05-01,-0.20489922372758107
2018-06-01,-0.17168193163350676
2018-07-01,-0.3064672178762353
2018-08-01,-0.30739960798735044
2018-09-01,-0.33513246815353925
2018-10-01,-0.35271441342238985
2018-11-01,-0.3488848009397052
2018-12-01,-0.35322909760460375
2019-01-01,-0.29980283372510597
2019-02-01,-0.397983232656971
2019-03-01,-0.25654332297302496
2019-04-01,-0.3956609351548859
2019-05-01,-0.3912771310157641
2019-06-01,-0.38973959319994966
2019-07-01,-0.33146537237166696
2019-08-01,-0.3207425376638726
2019-09-01,-0.41020965380691443
2019-10-01,-0.3626322079685971
2019-11-01,-0.4085322840839094
2019-12-01,-0.3014262139307893
2020-01-01,-0.2441227012446685
2020-02-01,-0.39454953233514356
2020-03-01,0.07444445458064397
2020-04-01,7.3076864230142204
2020-05-01,7.027597600480875
2020-06-01,4.812029862154075
2020-07-01,3.9598179757410046
2020-08-01,2.5422090116658564
2020-09-01,2.2289161451317474
2020-10-01,1.6033423166166365
2020-11-01,1.3495065081519275
2020-12-01,1.3683914140524482
2021-01-01,1.1928630272628382
2021-02-01,0.9423438703323894
2021-03-01,0.6605576752360678
2021-04-01,0.41588257756098734
2021-05-01,-0.02791744839380339
2021-06-01,-0.13583774969879148
2021-07-01,-0.46511869467611433
2021-08-01,-0.7964650843888403
2021-09-01,-0.9313988141678786
2021-10-01,-1.001383273556561
2021-11-01,-1.23183476276545
2021-12-01,-1.2532018021465832
2022-01-01,-1.2898237268466692
2022-02-01,-1.2897611965731879
2022-03-01,-1.4372921122958116
2022-04-01,-1.5448786541560846
2022-05-01,-1.4894769756517405
2022-06-01,-1.4115057945457257
2022-07-01,-1.3958645448725355
2022-08-01,-1.4398241045233422
2022-09-01,-1.1388865438439173
2022-10-01,-1.254868758187635
2022-11-01,-1.1869545383170528
2022-12-01,-1.2476327864415975
2023-01-01,-1.3008668477164465
2023-02-01,-1.1479232818868095
2023-03-01,-1.0460593660337683
2023-04-01,-1.0007332361597059
2023-05-01,-1.0253002430794624
2023-06-01,-0.8924025205940573
2023-07-01,-0.87153566786355
2023-08-01,-0.637770608673458
2023-09-01,-0.798027196263325
2023-10-01,-0.7601056437567628
2023-11-01,-0.629496024201436
2023-12-01,-0.6458516677422934
2024-01-01,-0.6672773547598787
2024-02-01,-0.5584782227056371
2024-03-01,-0.5420596105640656
2024-04-01,-0.4502888769194944
2024-05-01,-0.28307530955338933
2024-06-01,-0.3019067229586003
2024-07-01,-0.09255864529181235
2024-08-01,-0.1265806638017315
2024-09-01,-0.2159891460099841
2024-10-01,-0.03870804135859007
2024-11-01,-0.14429764185809724
2024-12-01,-0.326612485311661
2025-01-01,-0.18854766808890933
2025-02-01,-0.20338693795422902
2025-03-01,-0.11477384863652773
2025-04-01,-0.009921923060185023
2025-05-01,-0.04492092557710059
